,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,match_id,possession_team_id,team_id,player_id,under_pressure,related_events,off_camera
66,3d99908f-a9f1-462f-99a4-2e5b007e34f8,2065,2,00:06:27.158,51,27,Error,93,Manchester United,Regular Play,West Bromwich Albion,Chris Brunt,Left Back,"[14.5, 47.8]",0.0,3754297,39,27,3541,,,
67,10fb00e8-723d-48cf-ad8c-dda2a6b36cf5,2055,2,00:08:21.328,53,21,Error,98,West Bromwich Albion,From Goal Kick,Arsenal,Per Mertesacker,Right Center Back,"[20.0, 57.0]",0.0,3754301,27,1,3475,,,
68,2744d121-9647-4de9-a571-c78cc3605506,263,1,00:08:22.210,8,22,Error,20,West Ham United,From Throw In,West Ham United,Mark Noble,Right Center Midfield,"[36.4, 49.1]",0.0,3754323,40,40,3874,,,
69,0dc25c9a-b8b1-455e-8447-8653c020c350,3122,2,00:44:48.212,89,48,Error,176,West Ham United,From Throw In,Norwich City,Russell Martin,Right Center Back,"[3.5, 40.8]",0.0,3754323,40,56,21212,,,
70,173532f5-5df9-4250-b209-78e461794941,599,1,00:16:19.191,16,19,Error,42,Crystal Palace,Regular Play,Newcastle United,Fabricio Coloccini,Left Center Back,"[10.9, 39.1]",0.0,3754304,31,37,26207,,,
71,64b0d8ce-7205-4bed-b1d5-3da69ea69d20,1946,2,00:08:21.462,53,21,Error,119,Crystal Palace,From Corner,Newcastle United,Jamaal Lascelles,Left Center Back,"[11.8, 37.5]",0.0,3754304,31,37,3081,,,
72,6ea42245-d3fb-4d70-ae4f-b10b5591169d,2592,2,00:26:34.860,71,34,Error,155,Newcastle United,Regular Play,Crystal Palace,Joel Ward,Right Back,"[12.7, 46.1]",0.0,3754304,37,31,3443,,,
73,b906e34b-8c42-4d72-b1e4-1469047833d2,2977,2,00:35:28.175,80,28,Error,184,Tottenham Hotspur,From Throw In,West Ham United,Aaron Cresswell,Left Back,"[23.8, 26.9]",0.0,3754109,38,40,3062,,,
74,2080962d-2df1-4edf-88d8-59ab450bcc31,3235,2,00:41:08.124,86,8,Error,202,West Ham United,Regular Play,Tottenham Hotspur,Kyle Walker,Right Back,"[28.1, 50.0]",0.0,3754109,40,38,3205,,,
75,da6c83b4-0ad1-4c71-a5ed-18e20a9f293c,2923,2,00:30:43.681,75,43,Error,154,Arsenal,From Throw In,Stoke City,Geoff Cameron,Right Center Back,"[14.7, 43.5]",0.0,3754240,1,30,3480,,,
