,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,dribble_outcome,possession_team_id,team_id,player_id,dribble_overrun,dribble_nutmeg,out,dribble_no_touch,off_camera
10575,4c65048b-7e2e-4aa9-b6aa-336f2a3c5116,1906,2,00:01:46.949,46,46,Dribble,112,Manchester United,Regular Play,Manchester United,Anthony Martial,Right Center Forward,"[84.8, 35.1]",0.0,True,['d20e6a30-47b4-4e99-b22f-4ccd3500c8da'],3754200,Incomplete,39,39,20039,,,,,
10576,37d2d37a-ce5d-40cc-93b2-fb304c4a3d86,1940,2,00:02:40.036,47,40,Dribble,114,Manchester United,From Throw In,Manchester United,Cameron Borthwick-Jackson,Left Wing Back,"[99.2, 10.5]",0.0,True,['d61d5f4f-66ac-4d0f-9225-5523f5fd7a89'],3754200,Complete,39,39,10779,,,,,
10577,d282e863-78b1-48f3-9468-b1d470ae4383,1948,2,00:02:43.035,47,43,Dribble,114,Manchester United,From Throw In,Manchester United,Anthony Martial,Right Center Forward,"[100.4, 16.2]",0.0,True,['43e5ada8-1360-478e-95c0-7308dfe80885'],3754200,Complete,39,39,20039,,,,,
10578,58fa7613-d792-4777-9a40-ebc986ab3b59,2104,2,00:07:44.176,52,44,Dribble,124,Southampton,From Goal Kick,Southampton,Sadio Mané,Left Wing,"[62.7, 30.0]",0.0,True,['8b756ed6-03ea-4bdf-bda1-573be8b9f5b3'],3754200,Incomplete,25,25,3629,,,,,
10579,44cf9f14-7f78-4d77-8320-7d39ee43ba77,2520,2,00:23:37.877,68,37,Dribble,156,Manchester United,Regular Play,Manchester United,Cameron Borthwick-Jackson,Left Wing Back,"[87.9, 4.4]",0.0,True,['5c34ef4c-3c09-44ca-9c6b-7b256d0d69c3'],3754200,Complete,39,39,10779,,,,,
10580,febea8a1-ec4b-4126-8062-ab0f9a134496,2820,2,00:31:19.130,76,19,Dribble,167,Southampton,Regular Play,Southampton,Oriol Romeu Vidal,Left Defensive Midfield,"[54.9, 41.0]",0.0,True,['78bad233-64b6-4dbe-80fc-41da278556ab'],3754200,Complete,25,25,3272,,,,,
10581,96abe381-b63f-4f4a-8cbe-e359d43e315d,2985,2,00:36:36.096,81,36,Dribble,178,Manchester United,Regular Play,Manchester United,Jesse Lingard,Right Wing Back,"[67.0, 70.0]",0.0,True,['77daa337-815a-4abe-a27d-c3ec13fb7754'],3754200,Incomplete,39,39,3293,,,,,
10582,8fc6941a-fcee-45e6-8437-412cd20e87a2,3288,2,00:48:01.890,93,1,Dribble,202,Southampton,From Keeper,Southampton,Shane Long,Left Wing,"[87.0, 13.9]",0.0,True,"['1fb2dfad-22f8-451d-815b-f85c96c3c809', 'b90eb60b-bf33-446e-8ba2-40975835f75d']",3754200,Incomplete,25,25,3842,,,,,
10583,e8a94953-7134-4920-b37d-6e8af908cafe,145,1,00:04:27.963,4,27,Dribble,13,Southampton,From Throw In,Southampton,Victor Wanyama,Right Defensive Midfield,"[53.7, 72.7]",0.0,True,['1fba628f-f9ba-48d1-a828-c82476c6fb02'],3754201,Incomplete,25,25,3098,,,,,
10584,afba6ae8-43da-4d7e-bfc1-b978d35c82a6,168,1,00:04:45.283,4,45,Dribble,14,Arsenal,Regular Play,Arsenal,Héctor Bellerín Moruno,Right Back,"[54.2, 74.1]",0.0,True,['c6af3d94-ac4d-4bf1-9112-b59ee5f09e78'],3754201,Incomplete,1,1,3511,,,,,
