,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,interception_outcome,possession_team_id,team_id,player_id,counterpress,under_pressure,off_camera
2553,5849c077-a743-46ab-8f3e-9198532249c6,2103,2,00:04:42.383,49,42,Interception,102,Southampton,Regular Play,Southampton,Victor Wanyama,Center Defensive Midfield,"[37.5, 55.1]",0.0,"['191a1ec7-4c81-46c3-ac24-ca12f87b125c', '6ced043f-3f15-4f84-80ab-180bbd400c3f']",3754064,Won,25,25,3098,True,True,
2554,2bf19c52-0f40-412d-91a8-00afe6a5f86e,2132,2,00:05:22.834,50,22,Interception,103,Liverpool,From Throw In,Liverpool,Mamadou Sakho,Left Center Back,"[34.1, 31.2]",0.0,['19dcdb1a-f7cc-4726-b9a1-30dbfb0c47d2'],3754064,Success In Play,24,24,3483,True,,
2555,131b0880-2950-4b79-9136-de6c39da70f1,2159,2,00:05:53.777,50,53,Interception,103,Liverpool,From Throw In,Southampton,Victor Wanyama,Center Defensive Midfield,"[12.6, 46.1]",0.0,['768e6086-769a-4c65-8201-c8aafedf16e6'],3754064,Lost Out,24,25,3098,,,
2556,07aeb05b-08b5-4491-9fe0-4ee17e62edaf,2185,2,00:06:50.013,51,50,Interception,105,Liverpool,From Throw In,Southampton,Ryan Bertrand,Left Back,"[13.6, 37.2]",0.0,['a26e701f-6f0c-4b11-a2f3-b936a2a784b9'],3754064,Won,24,25,20045,,,
2557,2a49fc23-acf6-4707-9fb1-d10803023e1b,2194,2,00:06:56.550,51,56,Interception,105,Liverpool,From Throw In,Liverpool,Mamadou Sakho,Left Center Back,"[48.7, 40.2]",0.0,['2793df2f-a500-4408-bf7b-e50c34735aea'],3754064,Success In Play,24,24,3483,True,,
2558,1628beba-3860-4119-8f65-16d74488e272,2340,2,00:09:31.388,54,31,Interception,110,Liverpool,Regular Play,Liverpool,Emre Can,Right Center Midfield,"[17.1, 68.0]",0.0,['35bf440e-e21c-4fe1-b109-c26485f58c70'],3754064,Won,24,24,3493,True,,
2559,bf7ac9a7-a6b9-4316-91e5-99033bbf8214,2373,2,00:10:32.492,55,32,Interception,111,Liverpool,From Free Kick,Southampton,Virgil van Dijk,Left Center Back,"[20.0, 19.1]",0.0,['2a5509f8-66cf-471b-a553-d71de0bd8384'],3754064,Lost Out,24,25,3669,,,
2560,e44dcf65-1593-40cf-8428-3cefafd50d26,2381,2,00:10:45.424,55,45,Interception,113,Southampton,Regular Play,Southampton,Shane Long,Left Wing,"[11.8, 12.3]",0.0,['67da770e-9269-41e9-b44e-0fd623d47768'],3754064,Won,25,25,3842,True,,
2561,d0f9e09d-d95a-472d-87c9-99ed72a3156f,2419,2,00:12:02.270,57,2,Interception,116,Liverpool,From Throw In,Southampton,Rhu-endly Martina,Right Back,"[8.7, 66.4]",0.0,['041c936e-bd06-49c9-a73c-ad2e965845c2'],3754064,Lost In Play,24,25,3590,,,
2562,4b377576-500f-4995-a733-ab5c074ef0d1,2582,2,00:16:43.620,61,43,Interception,130,Liverpool,From Goal Kick,Southampton,Rhu-endly Martina,Right Back,"[54.1, 71.1]",0.0,['9f5f387b-b577-4338-9134-ee1800938c19'],3754064,Lost Out,24,25,3590,,True,
2563,f32547b9-bbad-4471-908c-7ad88991c6b6,2588,2,00:17:01.289,62,1,Interception,131,Liverpool,From Throw In,Southampton,Rhu-endly Martina,Right Back,"[49.0, 67.0]",0.0,['ec63b848-fd5d-48e1-bf33-d1a99c7eb5bd'],3754064,Success In Play,24,25,3590,,,
2564,e9cb271c-5e90-4a7e-b0b7-4e3f36a4a57f,2902,2,00:23:06.883,68,6,Interception,152,Southampton,Regular Play,Liverpool,Jon Flanagan,Right Back,"[39.2, 64.3]",0.0,"['6e26462c-9c9b-46ed-92bc-512e5a88deb8', 'fe1ce367-eece-4e30-a791-b512b16a5641']",3754064,Success In Play,25,24,10007,,True,
